gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ZNF165	59.76294332064442	-0.22879147996999527	0.04131546975945383	-5.537671029811856	3.0652031401734395e-8	3.725943038997222e-8
KIF19	428.41787997551626	0.7535630300032002	0.13615280417264608	5.534686079969814	3.117862650014425e-8	3.7897220980541105e-8
ACP2	1941.5912840103947	0.2108455959688245	0.038108167557432855	5.532819064339918	3.1512449615488476e-8	3.8300636009723974e-8
OLAH	14.097198485987148	-0.6650564791877233	0.12025407637443394	-5.530427734665255	3.194508806096164e-8	3.8824095770743666e-8
FAM182B	416.9765984973845	-0.41366634295177906	0.07480889143088831	-5.529641397425892	3.208860665108893e-8	3.8996134501616885e-8
DERL2	1333.303028565067	0.18109847041367577	0.032777484954148436	5.525087439350813	3.2932155721094586e-8	4.0018822142089623e-8
HTR1D	40.05367141936715	0.9156458021558791	0.16573716291345136	5.524686111792762	3.300751826669317e-8	4.0107949308776244e-8
QPCT	278.2306512823951	0.6865741504284616	0.12429808863209268	5.52360987996073	3.32104432284998e-8	4.035205917681125e-8
P2RX7	2321.5337044316207	0.3857553208480093	0.06986480949388264	5.521453842678637	3.362061378442313e-8	4.0847935749820033e-8
DNAJC19	969.9009853319951	-0.2429058118863344	0.044001918292462534	-5.520345960188372	3.383328739763272e-8	4.110381409584627e-8
RPL32P3	821.3367651105457	-0.2632358121269397	0.04773073401584008	-5.515017054621062	3.487461383257312e-8	4.2366323883169885e-8
PKD1L1	98.13102088721834	0.34106565657543675	0.061855778268273966	5.5138851393350015	3.509977169008867e-8	4.2637243292709944e-8
AMACR	907.8330936159842	-0.23495008708130694	0.04262044329719207	-5.512614813576704	3.535414099809881e-8	4.2943611852947403e-8
NOL4L	3632.3130564959656	-0.25590841687664845	0.04642916851099006	-5.511802711178715	3.551769181207267e-8	4.313963521114285e-8
PGA3	23.555354427831666	1.3188394938061545	0.23929681778711107	5.511312294087638	3.561681294653657e-8	4.325738338061207e-8
POLR3C	955.4604214169884	0.1805384939753328	0.03278800971542653	5.506235222639656	3.66588642445286e-8	4.45202560818476e-8
RXFP4	6.897137478443806	-0.7788430222719053	0.14146860347774398	-5.505412530593291	3.6830479262107037e-8	4.4725940106122654e-8
HDX	401.2014128876011	0.23650858654202614	0.04296217893317635	5.50504169981446	3.690808973787289e-8	4.481744939022365e-8
BAG6	10156.094233051495	-0.13233063711787113	0.02404160557403447	-5.504234594913723	3.707755586760384e-8	4.502048088726772e-8
KRT8P11	5.748416342560525	-0.5703294030070092	0.10366129515836003	-5.501854883596962	3.758162321137216e-8	4.562974378055768e-8
TEX264	1244.033742405176	0.23116201214941745	0.04205819826051892	5.496241439482086	3.879712466279055e-8	4.710266747916507e-8
MSC	102.87479723705012	0.86844329102355	0.1580830004950612	5.493590634691184	3.9384283393326365e-8	4.781260184447318e-8
ESYT2	5018.972525906812	-0.1732275021367273	0.03153495629080927	-5.493189860143035	3.947380233489372e-8	4.791835064135664e-8
GBP6	13.44750498126086	0.6717850677926763	0.1223056159334728	5.492675562486752	3.958896744479855e-8	4.805521721721561e-8
