Gene_symbol	current_dataset	previous_dataset
MIR6802	NA	All Cohorts
RNA5SP512	NA	All Cohorts
MIR4284	NA	All Cohorts
MIR6792	NA	All Cohorts
MIR4518	NA	All Cohorts
MIR1915	NA	All Cohorts
MIR4297	NA	All Cohorts
MIR4685	NA	All Cohorts
MIR4324	NA	All Cohorts
MIR6769A	NA	All Cohorts
MIR6793	NA	All Cohorts
RNU6-758P	NA	All Cohorts
RNU6-1154P	NA	All Cohorts
MIR3132	NA	All Cohorts
RNU6-651P	NA	All Cohorts
MIR1203	NA	All Cohorts
RNU6-58P	NA	All Cohorts
MIR200C	NA	All Cohorts
MIR6737	NA	All Cohorts
RNU6-1250P	NA	All Cohorts
RNA5SP256	NA	All Cohorts
MIR3192	NA	All Cohorts
SNORD115-21	NA	All Cohorts
MIR548AW	NA	All Cohorts
MIR670	NA	All Cohorts
RNU6-645P	NA	All Cohorts
RNU6-1306P	NA	All Cohorts
RNU6-191P	NA	All Cohorts
IGHD3OR15-3B	NA	All Cohorts
RNU6-1324P	NA	All Cohorts
RNA5SP448	NA	All Cohorts
RNA5SP60	NA	All Cohorts
MIR6780B	NA	All Cohorts
RNU6-973P	NA	All Cohorts
MIR6803	NA	All Cohorts
MIR3189	NA	All Cohorts
RNU6-971P	NA	All Cohorts
MIR6859-2	NA	All Cohorts
MIR6778	NA	All Cohorts
MIR5088	NA	All Cohorts
MIR3198-1	NA	All Cohorts
MIR6766	NA	All Cohorts
RNU6-254P	NA	All Cohorts
MIR6499	NA	All Cohorts
SNORD114-10	NA	All Cohorts
RNA5SP441	NA	All Cohorts
MIR3646	NA	All Cohorts
RNU7-151P	NA	All Cohorts
MIR6515	NA	All Cohorts
RNU6-1081P	NA	All Cohorts
RNU6-1137P	NA	All Cohorts
MIR6812	NA	All Cohorts
MIR8071-2	NA	All Cohorts
RNU6-1212P	NA	All Cohorts
MIR4522	NA	All Cohorts
SNORD18A	NA	All Cohorts
MIR21	NA	All Cohorts
MIR4314	NA	All Cohorts
MIR3151	NA	All Cohorts
MIR6747	NA	All Cohorts
MIR6774	NA	All Cohorts
MIR5588	NA	All Cohorts
MIR138-1	NA	All Cohorts
MIR4642	NA	All Cohorts
MIRLET7G	NA	All Cohorts
RNU6-258P	NA	All Cohorts
MIR6815	NA	All Cohorts
RNA5SP461	NA	All Cohorts
MIR938	NA	All Cohorts
MIR6862-2	NA	All Cohorts
MIR4725	NA	All Cohorts
MIR6077	NA	All Cohorts
MIR4782	NA	All Cohorts
MIR6511B2	NA	All Cohorts
MIR320E	NA	All Cohorts
MIR6768	NA	All Cohorts
RNU6-927P	NA	All Cohorts
MIR1303	NA	All Cohorts
MIR4467	NA	All Cohorts
MIR6767	NA	All Cohorts
RNA5SP130	NA	All Cohorts
RNA5SP175	NA	All Cohorts
MIR1972-1	NA	All Cohorts
MIR301A	NA	All Cohorts
MIR3162	NA	All Cohorts
RNU7-140P	NA	All Cohorts
TRAJ61	NA	All Cohorts
RNU6-287P	NA	All Cohorts
MIR548A3	NA	All Cohorts
RNU6-613P	NA	All Cohorts
RNU6-79P	NA	All Cohorts
MIR328	NA	All Cohorts
MIR8071-1	NA	All Cohorts
MIR4726	NA	All Cohorts
MIR4488	NA	All Cohorts
MIR6741	NA	All Cohorts
MIR4641	NA	All Cohorts
RNU6-456P	NA	All Cohorts
MIR4305	NA	All Cohorts
MIR6806	NA	All Cohorts
MIR9500	NA	All Cohorts
RNA5SP97	NA	All Cohorts
MIR7849	NA	All Cohorts
MIR6744	NA	All Cohorts
MIR6776	NA	All Cohorts
RNU6ATAC11P	NA	All Cohorts
MIR1913	NA	All Cohorts
MIR199A1	NA	All Cohorts
MIR130A	NA	All Cohorts
RNU6-894P	NA	All Cohorts
SNORD37	NA	All Cohorts
SNORD41	NA	All Cohorts
MIR4667	NA	All Cohorts
MIR758	NA	All Cohorts
MIR6770-1	NA	All Cohorts
MIR6814	NA	All Cohorts
MIR34B	NA	All Cohorts
RNU6-317P	NA	All Cohorts
RNU6-319P	NA	All Cohorts
SNORD53	NA	All Cohorts
RNU2-16P	NA	All Cohorts
MIR933	NA	All Cohorts
MIR6879	NA	All Cohorts
RNU6-902P	NA	All Cohorts
MIR6511A1	NA	All Cohorts
RNU6-768P	NA	All Cohorts
snoMBII-202	NA	All Cohorts
MIR2467	NA	All Cohorts
MIR7843	NA	All Cohorts
MIR5087	NA	All Cohorts
MIR601	NA	All Cohorts
RNU6-526P	NA	All Cohorts
RNU6-565P	NA	All Cohorts
MIR4768	NA	All Cohorts
RNA5SP367	NA	All Cohorts
RFPL3-AS1_1	NA	All Cohorts
SNORD66	NA	All Cohorts
MIR4259	NA	All Cohorts
MIR4281	NA	All Cohorts
RNU4-79P	NA	All Cohorts
MIR1273C	NA	All Cohorts
RNU6-325P	NA	All Cohorts
MIR4448	NA	All Cohorts
MIR6833	NA	All Cohorts
MIR874	NA	All Cohorts
MIR6089	NA	All Cohorts
MIR4319	NA	All Cohorts
MIR3196	NA	All Cohorts
MIR1275	NA	All Cohorts
RNU6-1234P	NA	All Cohorts
snoU83B	NA	All Cohorts
Hammerhead_HH9	NA	All Cohorts
RNU6-874P	NA	All Cohorts
MIR6816	NA	All Cohorts
MIR4682	NA	All Cohorts
RNU6-1104P	NA	All Cohorts
RNU6-435P	NA	All Cohorts
MIR1299	NA	All Cohorts
RNU6-453P	NA	All Cohorts
RNY4P14	NA	All Cohorts
RNU6-711P	NA	All Cohorts
MIR3136	NA	All Cohorts
RNU6-1074P	NA	All Cohorts
MIR4646	NA	All Cohorts
MIR6871	NA	All Cohorts
RNA5SP364	NA	All Cohorts
MIR298	NA	All Cohorts
MIR6087	NA	All Cohorts
MIR1301	NA	All Cohorts
MIR373	NA	All Cohorts
RNA5SP243	NA	All Cohorts
RNA5SP77	NA	All Cohorts
MIR4648	NA	All Cohorts
MIR409	NA	All Cohorts
RNU4ATAC14P	NA	All Cohorts
RNA5SP499	NA	All Cohorts
RNA5SP20	NA	All Cohorts
RNU6-511P	NA	All Cohorts
RNU6-865P	NA	All Cohorts
CASP1P1	NA	All Cohorts
MIR4766	NA	All Cohorts
RNU6-220P	NA	All Cohorts
RNU2-19P	NA	All Cohorts
MIR26B	NA	All Cohorts
RNA5SP114	NA	All Cohorts
MIR1343	NA	All Cohorts
SNORD115-6	NA	All Cohorts
MIR548AC	NA	All Cohorts
MIR4286	NA	All Cohorts
MIR5190	NA	All Cohorts
MIR4761	NA	All Cohorts
MIR483	NA	All Cohorts
MIR3928	NA	All Cohorts
MIR4637	NA	All Cohorts
MIR4633	NA	All Cohorts
RNU6-675P	NA	All Cohorts
MIR3133	NA	All Cohorts
RNU6-494P	NA	All Cohorts
MIR887	NA	All Cohorts
MIR6877	NA	All Cohorts
IGHD1-14	NA	All Cohorts
MIR6736	NA	All Cohorts
IGHVII-67-1	NA	All Cohorts
MIR5687	NA	All Cohorts
MIR5587	NA	All Cohorts
MIR599	NA	All Cohorts
RNU6-416P	NA	All Cohorts
MREGP1	NA	All Cohorts
RNU6-561P	NA	All Cohorts
RNU6-180P	NA	All Cohorts
RNU6-285P	NA	All Cohorts
MIR3678	NA	All Cohorts
MIR6783	NA	All Cohorts
MIR6738	NA	All Cohorts
MIR6794	NA	All Cohorts
MIR4478	NA	All Cohorts
MIR6799	NA	All Cohorts
MIR4767	NA	All Cohorts
MIR3180-2	NA	All Cohorts
RNU6-1243P	NA	All Cohorts
SNORD32B	NA	All Cohorts
MIR4472-2	NA	All Cohorts
MIR6813	NA	All Cohorts
RNU6-1036P	NA	All Cohorts
RNU6-940P	NA	All Cohorts
MIR6852	NA	All Cohorts
MIR4715	NA	All Cohorts
MIR410	NA	All Cohorts
MIR4639	NA	All Cohorts
RNU4-71P	NA	All Cohorts
MIR8054	NA	All Cohorts
RNU4-87P	NA	All Cohorts
MIR4678	NA	All Cohorts
RNU7-54P	NA	All Cohorts
MIR302C	NA	All Cohorts
RNU6-83P	NA	All Cohorts
MIR4714	NA	All Cohorts
MIR4449	NA	All Cohorts
MIR30C2	NA	All Cohorts
RNU6-245P	NA	All Cohorts
MIR378A	NA	All Cohorts
MIR3135A	NA	All Cohorts
RNA5SP169	NA	All Cohorts
MIR4424	NA	All Cohorts
MIR8063	NA	All Cohorts
MIR6886	NA	All Cohorts
MIR5092	NA	All Cohorts
SNORD38	NA	All Cohorts
MIR4636	NA	All Cohorts
AC074290.1	NA	All Cohorts
MIR6829	NA	All Cohorts
MIR6505	NA	All Cohorts
MIR4463	NA	All Cohorts
RNU7-57P	NA	All Cohorts
MIR6827	NA	All Cohorts
MIR100	NA	All Cohorts
MIR503	NA	All Cohorts
MIR3609	NA	All Cohorts
MIR4673	NA	All Cohorts
MIR3200	NA	All Cohorts
MIR6888	NA	All Cohorts
RNU6-131P	NA	All Cohorts
MIR3145	NA	All Cohorts
MIR8081	NA	All Cohorts
MIR450A2	NA	All Cohorts
RNU7-193P	NA	All Cohorts
MIR6512	NA	All Cohorts
MIR7850	NA	All Cohorts
MIR5089	NA	All Cohorts
MIR4483	NA	All Cohorts
RNU6-898P	NA	All Cohorts
MIR6782	NA	All Cohorts
RNU7-128P	NA	All Cohorts
RNA5SP432	NA	All Cohorts
MIR3908	NA	All Cohorts
MIR3680-2	NA	All Cohorts
SNORD115-14	NA	All Cohorts
MIR139	NA	All Cohorts
MIR5581	NA	All Cohorts
RNU5A-2P	NA	All Cohorts
MIR4747	NA	All Cohorts
SNORD115-22	NA	All Cohorts
RNU7-160P	NA	All Cohorts
RNU6-155P	NA	All Cohorts
MIR4484	NA	All Cohorts
