Gene_symbol	current_dataset	previous_dataset
BORCS8-MEF2B	NA	TARGET
LOC442445	NA	TARGET
RPS18P14	NA	TARGET
LOC220729	NA	TARGET
LOC100131685	NA	TARGET
LOC100420466	NA	TARGET
RPL10AP12	NA	TARGET
LOC100310782	NA	TARGET
LOC283922	NA	TARGET
LOC390877	NA	TARGET
RPS10P30	NA	TARGET
RPS15AP20	NA	TARGET
LOC645482	NA	TARGET
LOC105371730	NA	TARGET
GUCA1ANB	NA	TARGET
LOC101927588	NA	TARGET
RPL10AP7	NA	TARGET
LOC441204	NA	TARGET
LOC105377213	NA	TARGET
RPS15AP35	NA	TARGET
LOC152845	NA	TARGET
LOC107985075	NA	TARGET
LOC100130357	NA	TARGET
LOC153684	NA	TARGET
LOC441666	NA	TARGET
LOC652276	NA	TARGET
LOC100506688	NA	TARGET
GAGE4	NA	TARGET
LOC646506	NA	TARGET
LOC100419570	NA	TARGET
RPS2P54	NA	TARGET
LINC00548	NA	TARGET
LOC644669	NA	TARGET
LOC100131465	NA	TARGET
LOC100420880	NA	TARGET
LOC128136	NA	TARGET
LOC284685	NA	TARGET
LOC440700	NA	TARGET
LOC100129138	NA	TARGET
LOC441880	NA	TARGET
LOC100422564	NA	TARGET
RPL7AP36	NA	TARGET
RPL21P69	NA	TARGET
RPS18P10	NA	TARGET
RPL27AP7	NA	TARGET
LOC105378052	NA	TARGET
RPL7AP35	NA	TARGET
RPL31P27	NA	TARGET
RPL21P68	NA	TARGET
RPL6P17	NA	TARGET
LOC730101	NA	TARGET
LOC100506302	NA	TARGET
RPL31P32	NA	TARGET
RPL15P9	NA	TARGET
RPS18P8	NA	TARGET
LOC100421093	NA	TARGET
RPS10P13	NA	TARGET
LOC100129422	NA	TARGET
RPL21P63	NA	TARGET
LOC100131041	NA	TARGET
RPL34P16	NA	TARGET
RPS10P1	NA	TARGET
LOC646674	NA	TARGET
LOC100127917	NA	TARGET
RPL21P61	NA	TARGET
LOC442225	NA	TARGET
LOC100422453	NA	TARGET
LOC100421091	NA	TARGET
LOC100419073	NA	TARGET
RPL37AP4	NA	TARGET
RPL18AP4	NA	TARGET
LOC100131471	NA	TARGET
LOC100288175	NA	TARGET
LOC100132242	NA	TARGET
RPL19P9	NA	TARGET
LOC100533723	NA	TARGET
LOC100130449	NA	TARGET
RPL27AP6	NA	TARGET
RPS25P7	NA	TARGET
RPL6P18	NA	TARGET
LOC100128610	NA	TARGET
LOC100129844	NA	TARGET
LOC100420839	NA	TARGET
LOC100133102	NA	TARGET
LOC100422587	NA	TARGET
LOC100421246	NA	TARGET
RPS12P13	NA	TARGET
RPS15AP19	NA	TARGET
RPL21P19	NA	TARGET
LOC100420052	NA	TARGET
LOC100420214	NA	TARGET
LOC101928254	NA	TARGET
RPS2P29	NA	TARGET
LOC105378242	NA	TARGET
LOC100652960	NA	TARGET
RPS19P5	NA	TARGET
LOC100421511	NA	TARGET
LOC100127900	NA	TARGET
RPS3P5	NA	TARGET
LOC100129847	NA	TARGET
LOC102723968	NA	TARGET
RPS5P6	NA	TARGET
RPL21P64	NA	TARGET
GPR166P	NA	TARGET
RPS15AP21	NA	TARGET
RPS3P4	NA	TARGET
LOC100287856	NA	TARGET
LOC100132659	NA	TARGET
LOC100128655	NA	TARGET
LOC442155	NA	TARGET
RPL17P23	NA	TARGET
LOC100422671	NA	TARGET
RPS12P12	NA	TARGET
LOC100631243	NA	TARGET
LOC101928881	NA	TARGET
LOC105375614	NA	TARGET
LOC100420008	NA	TARGET
LOC645188	NA	TARGET
LOC101927993	NA	TARGET
RPS24P5	NA	TARGET
LOC100506100	NA	TARGET
