Gene_Ensembl_ID	current_dataset	previous_dataset
ENSG00000199381	NA	All Cohorts
ENSG00000207948	NA	All Cohorts
ENSG00000274172	NA	All Cohorts
ENSG00000273627	NA	All Cohorts
ENSG00000266006	NA	All Cohorts
ENSG00000284519	NA	All Cohorts
ENSG00000266494	NA	All Cohorts
ENSG00000207222	NA	All Cohorts
ENSG00000264171	NA	All Cohorts
ENSG00000277588	NA	All Cohorts
ENSG00000283639	NA	All Cohorts
ENSG00000201876	NA	All Cohorts
ENSG00000278438	NA	All Cohorts
ENSG00000275669	NA	All Cohorts
ENSG00000273606	NA	All Cohorts
ENSG00000221468	NA	All Cohorts
ENSG00000222958	NA	All Cohorts
ENSG00000207752	NA	All Cohorts
ENSG00000208009	NA	All Cohorts
ENSG00000252903	NA	All Cohorts
ENSG00000206775	NA	All Cohorts
ENSG00000212270	NA	All Cohorts
ENSG00000212377	NA	All Cohorts
ENSG00000209702	NA	All Cohorts
ENSG00000212302	NA	All Cohorts
ENSG00000263892	NA	All Cohorts
ENSG00000211582	NA	All Cohorts
ENSG00000278265	NA	All Cohorts
ENSG00000275166	NA	All Cohorts
ENSG00000207811	NA	All Cohorts
ENSG00000206758	NA	All Cohorts
ENSG00000251834	NA	All Cohorts
ENSG00000265145	NA	All Cohorts
ENSG00000222644	NA	All Cohorts
ENSG00000215973	NA	All Cohorts
ENSG00000278851	NA	All Cohorts
ENSG00000253021	NA	All Cohorts
ENSG00000275259	NA	All Cohorts
ENSG00000207414	NA	All Cohorts
ENSG00000212618	NA	All Cohorts
ENSG00000253072	NA	All Cohorts
ENSG00000264292	NA	All Cohorts
ENSG00000273830	NA	All Cohorts
ENSG00000283676	NA	All Cohorts
ENSG00000207991	NA	All Cohorts
ENSG00000201815	NA	All Cohorts
ENSG00000222869	NA	All Cohorts
ENSG00000265465	NA	All Cohorts
ENSG00000252366	NA	All Cohorts
ENSG00000274617	NA	All Cohorts
ENSG00000275656	NA	All Cohorts
ENSG00000212158	NA	All Cohorts
ENSG00000212532	NA	All Cohorts
ENSG00000266458	NA	All Cohorts
ENSG00000266329	NA	All Cohorts
ENSG00000199634	NA	All Cohorts
ENSG00000264814	NA	All Cohorts
ENSG00000223064	NA	All Cohorts
ENSG00000263932	NA	All Cohorts
ENSG00000277264	NA	All Cohorts
ENSG00000216009	NA	All Cohorts
ENSG00000277120	NA	All Cohorts
ENSG00000265957	NA	All Cohorts
ENSG00000266463	NA	All Cohorts
ENSG00000221697	NA	All Cohorts
ENSG00000252686	NA	All Cohorts
ENSG00000252945	NA	All Cohorts
ENSG00000276730	NA	All Cohorts
ENSG00000199260	NA	All Cohorts
ENSG00000278278	NA	All Cohorts
ENSG00000265370	NA	All Cohorts
ENSG00000207454	NA	All Cohorts
ENSG00000206766	NA	All Cohorts
