sample	caller
BS_8JTH2X5Z	gatk
BS_8MJNDM75	gatk
BS_8Q8CAY84	gatk
BS_8Q8N6AHW	cnvkit
BS_8Q8N6AHW	gatk
BS_8S0EDFTP	gatk
BS_8S2CZBA6	freec
BS_8S2CZBA6	gatk
BS_8SETK1J4	gatk
BS_8SYN7GXG	gatk
BS_8TFBNHT0	gatk
BS_8W0FNBWF	gatk
BS_8WJR4AA3	cnvkit
BS_8WJR4AA3	gatk
BS_8XDZQKSD	gatk
BS_8YQGSMDK	gatk
BS_8ZFK0D8Z	freec
BS_8ZFK0D8Z	gatk
BS_922YMFYK	gatk
BS_928HWFFM	gatk
BS_92YFTG9R	cnvkit
BS_92YFTG9R	freec
BS_92YFTG9R	gatk
BS_93B38HPS	gatk
BS_93BV8AY9	gatk
BS_947CK40E	gatk
BS_94AP61Q5	gatk
BS_95PV1RRY	cnvkit
BS_95PV1RRY	freec
BS_95PV1RRY	gatk
BS_95RRF4NE	gatk
BS_969K7ZM1	gatk
BS_96S0VQBN	freec
BS_96S0VQBN	gatk
BS_99PPRCW4	gatk
BS_9BF58P80	gatk
BS_9BGCH82S	gatk
BS_9BN45DFK	freec
BS_9BN45DFK	gatk
BS_9BZBCZHK	cnvkit
BS_9BZBCZHK	freec
BS_9BZBCZHK	gatk
BS_9CMJ3QF6	gatk
BS_9CPZ5R1T	gatk
BS_9D39MFHT	gatk
BS_9DM8H1RX	cnvkit
BS_9DM8H1RX	freec
BS_9DM8H1RX	gatk
BS_9E632VPJ	gatk
BS_9E6Q11G2	gatk
BS_9F2J6VS1	gatk
BS_9G2RB0V8	gatk
BS_9G7ETYHR	gatk
BS_9GJHMA3J	cnvkit
BS_9GJHMA3J	gatk
BS_9GN1QA3Q	gatk
BS_9GSWPZ44	gatk
BS_9HDPJT21	gatk
BS_9HEMB7RK	gatk
BS_9JVGXA2W	freec
BS_9JVGXA2W	gatk
BS_9KDA3HG6	gatk
BS_9M49SGAQ	freec
BS_9M49SGAQ	gatk
BS_9N3B3HZB	gatk
BS_9ND96NYZ	freec
BS_9ND96NYZ	gatk
BS_9NF39QAW	gatk
BS_9P4NDTKJ	cnvkit
BS_9P4NDTKJ	freec
BS_9P4NDTKJ	gatk
BS_9PEJSEZG	cnvkit
BS_9PEJSEZG	gatk
BS_9PQPZPGM	gatk
BS_9PRG9CJC	gatk
BS_9QMVZ4C0	gatk
BS_9R82A3VT	cnvkit
BS_9R82A3VT	gatk
BS_9SVMVJ45	gatk
BS_9W6FK6X4	gatk
BS_9X9E86DY	cnvkit
BS_9X9E86DY	gatk
BS_9YMT5HB4	gatk
BS_9YPJANGX	gatk
BS_9ZDR2H7D	gatk
BS_9ZFXXJPK	gatk
BS_A11S37GE	gatk
BS_A1DV9T7G	cnvkit
BS_A1DV9T7G	freec
BS_A1DV9T7G	gatk
BS_A2Z4DDQS	gatk
BS_A3EV6FXK	gatk
BS_A3K94FCY	gatk
BS_A4KYP5H0	gatk
BS_A527Y2QF	gatk
BS_A5AQFAFA	gatk
BS_A70G7S2W	gatk
BS_A94A7EJ4	freec
BS_A94A7EJ4	gatk
BS_A9S5HT6P	cnvkit
BS_A9S5HT6P	freec
BS_A9S5HT6P	gatk
BS_ABENB1H2	gatk
BS_ABZ3BK38	gatk
BS_ABZC437A	freec
BS_ABZC437A	gatk
BS_ACCE0MEA	gatk
BS_ACDQRWMY	gatk
BS_ACE6QKVF	freec
BS_ACE6QKVF	gatk
BS_ACTR13BQ	gatk
BS_AE718N55	gatk
BS_AEMRNSQX	gatk
BS_AF5D41PD	cnvkit
BS_AF5D41PD	gatk
BS_AFAHY6HP	cnvkit
BS_AFAHY6HP	gatk
BS_AFBPM6CN	cnvkit
BS_AFBPM6CN	gatk
BS_AG0BZN6F	gatk
BS_AG6M7TJE	gatk
